GROUP;CODE;EN;DE;SP;FR;XXX
WORDS;PROFILE;Profile;Profile;Perfil;Profil;
WORDS;FEATURES;Features;Features;Características;Caractéristiques;
WORDS;FEATURES;Features;;Características;Caractéristiques;
WORDS;DOWNLOADPROJECT;Download Project;Download Project;Descargar Proyecto;Download Project;
WORDS;DOCUMENTATION;Documentation;Documentation;Documentación;Documentation;
WORDS;COMMUNITY;Community;Community;Comunidad;Communauté;
WORDS;MOLDEOZIP;Zipped Moldeo Project File (.zip);Zipped Moldeo Project File (.zip);Archivo de proyecto (.zip);Fichier du projects (.zip);
WORDS;LINKVIDEO;Video link (youtube or vimeo);Video link (youtube or vimeo);Video link (youtube o vimeo);Lien vidéo externe (youtube ou vimeo);
